date,date,cases,daily_cases
2020-01-21,2020-01-21,1,1.0
2020-01-22,2020-01-22,1,0.0
2020-01-23,2020-01-23,1,0.0
2020-01-24,2020-01-24,2,1.0
2020-01-25,2020-01-25,3,1.0
2020-01-26,2020-01-26,5,2.0
2020-01-27,2020-01-27,5,0.0
2020-01-28,2020-01-28,5,0.0
2020-01-29,2020-01-29,5,0.0
2020-01-30,2020-01-30,6,1.0
2020-01-31,2020-01-31,7,1.0
2020-02-01,2020-02-01,8,1.0
2020-02-02,2020-02-02,11,3.0
2020-02-03,2020-02-03,11,0.0
2020-02-04,2020-02-04,11,0.0
2020-02-05,2020-02-05,12,1.0
2020-02-06,2020-02-06,12,0.0
2020-02-07,2020-02-07,12,0.0
2020-02-08,2020-02-08,12,0.0
2020-02-09,2020-02-09,12,0.0
2020-02-10,2020-02-10,13,1.0
2020-02-11,2020-02-11,13,0.0
2020-02-12,2020-02-12,14,1.0
2020-02-13,2020-02-13,15,1.0
2020-02-14,2020-02-14,15,0.0
2020-02-15,2020-02-15,15,0.0
2020-02-16,2020-02-16,15,0.0
2020-02-17,2020-02-17,25,10.0
2020-02-18,2020-02-18,25,0.0
2020-02-19,2020-02-19,25,0.0
2020-02-20,2020-02-20,27,2.0
2020-02-21,2020-02-21,30,3.0
2020-02-22,2020-02-22,30,0.0
2020-02-23,2020-02-23,30,0.0
2020-02-24,2020-02-24,43,13.0
2020-02-25,2020-02-25,45,2.0
2020-02-26,2020-02-26,60,15.0
2020-02-27,2020-02-27,60,0.0
2020-02-28,2020-02-28,65,5.0
2020-02-29,2020-02-29,70,5.0
2020-03-01,2020-03-01,88,18.0
2020-03-02,2020-03-02,104,16.0
2020-03-03,2020-03-03,125,21.0
2020-03-04,2020-03-04,161,36.0
2020-03-05,2020-03-05,228,67.0
2020-03-06,2020-03-06,311,83.0
2020-03-07,2020-03-07,428,117.0
2020-03-08,2020-03-08,547,119.0
2020-03-09,2020-03-09,748,201.0
2020-03-10,2020-03-10,1018,270.0
2020-03-11,2020-03-11,1263,245.0
2020-03-12,2020-03-12,1668,405.0
2020-03-13,2020-03-13,2224,556.0
2020-03-14,2020-03-14,2898,674.0
2020-03-15,2020-03-15,3600,702.0
2020-03-16,2020-03-16,4507,907.0
2020-03-17,2020-03-17,5905,1398.0
2020-03-18,2020-03-18,8345,2440.0
2020-03-19,2020-03-19,12384,4039.0
2020-03-20,2020-03-20,17990,5606.0
2020-03-21,2020-03-21,24511,6521.0
2020-03-22,2020-03-22,33043,8532.0
2020-03-23,2020-03-23,43477,10434.0
2020-03-24,2020-03-24,53892,10415.0
2020-03-25,2020-03-25,68489,14597.0
2020-03-26,2020-03-26,85497,17008.0
2020-03-27,2020-03-27,102729,17232.0
2020-03-28,2020-03-28,123581,20852.0
2020-03-29,2020-03-29,142194,18613.0
2020-03-30,2020-03-30,163589,21395.0
2020-03-31,2020-03-31,188049,24460.0
2020-04-01,2020-04-01,214711,26662.0
2020-04-02,2020-04-02,244423,29712.0
2020-04-03,2020-04-03,276501,32078.0
2020-04-04,2020-04-04,311536,35035.0
2020-04-05,2020-04-05,336771,25235.0
2020-04-06,2020-04-06,366227,29456.0
2020-04-07,2020-04-07,397748,31521.0
2020-04-08,2020-04-08,429316,31568.0
2020-04-09,2020-04-09,463684,34368.0
2020-04-10,2020-04-10,496914,33230.0
2020-04-11,2020-04-11,528397,31483.0
2020-04-12,2020-04-12,555327,26930.0
2020-04-13,2020-04-13,580853,25526.0
2020-04-14,2020-04-14,607285,26432.0
2020-04-15,2020-04-15,637056,29771.0
2020-04-16,2020-04-16,668533,31477.0
2020-04-17,2020-04-17,699853,31320.0
2020-04-18,2020-04-18,728094,28241.0
2020-04-19,2020-04-19,753316,25222.0
